career,demand_score
Software Engineer,10
Data Scientist,9
AI/ML Engineer,9
Cybersecurity Analyst,9
Mechanical Engineer,8
Electrical Engineer,7
Nurse,8
Public Health Officer,8
Medical Lab Technician,7
Pharmacist,8
Biomedical Scientist,6
Accountant,7
Computational Chemist,8
Cheminformatics Analyst,7
Green Chemist,8
Environmental Chemist,8
Waste Management Expert,7
Materials Scientist,9
Battery Researcher,9
Nanotechnologist,8
Medicinal Chemist,7
Pharmaceutical Researcher,8
Industrial Chemist,6
Process Chemist,6
Quality Control Analyst,6
Investment Analyst,8
Entrepreneur,6
Business Analyst,7
Sales Manager,5
Lawyer,6
Public Policy Analyst,7
Journalist,5
Author,5
Editor,5
Graphic Designer,6
Animator,6
Fashion Designer,6
Teacher,7
Education Consultant,6
Agronomist,5
Environmental Scientist,7
Urban Planner,6
Climate Researcher,7
Career Counselor,5
General Education Officer,5
